Asset,Strategy,TotalReturn,Sharpe,MDD
688_CHIP,1x 底层现货基准,257.76%,1.23,-36.99%
688_CHIP,2x 静态杠杆 ETF (每日做多 ETF),566.81%,1.04,-63.74%
688_CHIP,"专业策略 (每日 ETF) [2.0,1.2,0.3] (Max Sharpe)",282.84%,1.28,-45.42%
688_CHIP,"专业策略 (每日 ETF) [2.0,1.2,0.5] (Max Return)",282.96%,1.27,-44.25%
688_CHIP,"专业策略 (静态融资) [2.0,1.2,0.0] (Max Sharpe)",284.40%,1.29,-46.99%
688_CHIP,"专业策略 (静态融资) [2.0,1.2,0.3] (Max Return)",284.53%,1.28,-45.30%
688_CHIP,"散户融资策略 (非信仰型) [2.0,0.8,0.0] (激进画像)",239.54%,1.15,-25.82%
688_CHIP,"散户融资策略 (非信仰型) [1.5,0.5,0.0] (保守画像)",136.23%,1.04,-19.08%
688_CHIP,"散户融资策略 (信仰型) [2.0,1.3,1.0] (激进画像)",454.77%,1.44,-30.19%
688_CHIP,"散户融资策略 (信仰型) [2.0,1.0,0.5] (保守画像)",317.59%,1.29,-27.76%
QQQ,1x 底层现货基准,100.50%,1.19,-22.77%
QQQ,2x 静态杠杆 ETF (每日做多 ETF),202.48%,1.06,-42.16%
QQQ,"专业策略 (每日 ETF) [1.5,1.5,0.8] (Max Sharpe)",94.62%,1.19,-20.21%
QQQ,"专业策略 (每日 ETF) [3.0,2.5,1.5] (Max Return)",182.23%,1.04,-38.77%
QQQ,"专业策略 (静态融资) [1.0,1.0,0.0] (Max Sharpe)",15.98%,1.68,-1.53%
QQQ,"专业策略 (静态融资) [3.0,2.5,1.5] (Max Return)",189.13%,1.06,-39.00%
QQQ,"散户策略 (非信仰型 ETF) [2.0,0.8,0.0] (激进画像)",49.26%,0.74,-28.97%
QQQ,"散户策略 (非信仰型 ETF) [1.5,0.5,0.0] (保守画像)",35.09%,0.76,-20.00%
QQQ,"散户策略 (信仰型 ETF) [2.0,1.3,1.0] (激进画像)",100.05%,0.96,-30.62%
QQQ,"散户策略 (信仰型 ETF) [2.0,1.0,0.5] (保守画像)",73.70%,0.92,-28.43%
QQQ,3x 真实 ETF (TQQQ),293.87%,0.93,-58.04%
SOXX,1x 底层现货基准,252.54%,1.31,-41.36%
SOXX,2x 静态杠杆 ETF (每日做多 ETF),579.10%,1.14,-71.09%
SOXX,"专业策略 (每日 ETF) [1.0,1.0,0.5] (Max Sharpe)",180.29%,1.41,-20.65%
SOXX,"专业策略 (每日 ETF) [3.0,2.5,1.5] (Max Return)",338.60%,1.20,-57.15%
SOXX,"专业策略 (静态融资) [1.0,1.0,0.5] (Max Sharpe)",189.60%,1.47,-20.06%
SOXX,"专业策略 (静态融资) [3.0,2.5,1.5] (Max Return)",343.23%,1.21,-57.16%
SOXX,"散户策略 (非信仰型 ETF) [2.0,0.8,0.0] (激进画像)",82.89%,0.54,-55.20%
SOXX,"散户策略 (非信仰型 ETF) [1.5,0.5,0.0] (保守画像)",57.67%,0.54,-41.69%
SOXX,"散户策略 (信仰型 ETF) [2.0,1.3,1.0] (激进画像)",221.51%,0.89,-58.12%
SOXX,"散户策略 (信仰型 ETF) [2.0,1.0,0.5] (保守画像)",143.66%,0.76,-54.79%
SOXX,3x 真实 ETF (SOXL),704.78%,0.87,-87.88%
MU,1x 底层现货基准,1456.99%,2.42,-57.63%
MU,2x 静态杠杆 ETF (每日做多 ETF),6628.53%,2.50,-87.83%
MU,"专业策略 (每日 ETF) [2.0,1.0,0.3] (Max Sharpe)",1310.88%,2.60,-46.95%
MU,"专业策略 (每日 ETF) [3.0,2.5,1.0] (Max Return)",1706.99%,2.52,-58.35%
MU,"专业策略 (静态融资) [2.0,1.0,0.3] (Max Sharpe)",1333.50%,2.62,-46.58%
MU,"专业策略 (静态融资) [3.0,2.5,1.0] (Max Return)",1709.42%,2.52,-58.34%
MU,"散户策略 (非信仰型 ETF) [2.0,0.8,0.0] (激进画像)",833.26%,1.74,-52.42%
MU,"散户策略 (非信仰型 ETF) [1.5,0.5,0.0] (保守画像)",374.73%,1.52,-38.65%
MU,"散户策略 (信仰型 ETF) [2.0,1.3,1.0] (激进画像)",2090.20%,2.11,-71.43%
MU,"散户策略 (信仰型 ETF) [2.0,1.0,0.5] (保守画像)",1251.15%,1.93,-61.29%
MU,2x 真实 ETF (MUU),2859.84%,4.25,-75.07%
SanDisk,1x 底层现货基准,5222.00%,15.71,-47.50%
SanDisk,2x 静态杠杆 ETF (每日做多 ETF),59956.60%,46.85,-77.65%
SanDisk,"专业策略 (每日 ETF) [2.5,2.5,0.3] (Max Sharpe)",5406.83%,16.98,-32.46%
SanDisk,"专业策略 (每日 ETF) [2.5,2.5,0.5] (Max Return)",5408.46%,16.82,-36.72%
SanDisk,"专业策略 (静态融资) [2.5,2.5,0.0] (Max Sharpe)",5347.06%,16.93,-31.34%
SanDisk,"专业策略 (静态融资) [2.5,2.5,0.3] (Max Return)",5375.79%,16.92,-32.70%
SanDisk,"散户策略 (非信仰型 ETF) [2.0,0.8,0.0] (激进画像)",5113.94%,13.60,-45.85%
SanDisk,"散户策略 (非信仰型 ETF) [1.5,0.5,0.0] (保守画像)",1686.94%,8.15,-34.95%
SanDisk,"散户策略 (信仰型 ETF) [2.0,1.3,1.0] (激进画像)",17203.13%,27.55,-49.37%
SanDisk,"散户策略 (信仰型 ETF) [2.0,1.0,0.5] (保守画像)",8613.57%,18.62,-47.14%
SanDisk,2x 真实 ETF (SNXX),761.40%,53.27,-56.01%
EWY,1x 底层现货基准,206.36%,1.23,-27.36%
EWY,2x 静态杠杆 ETF (每日做多 ETF),446.72%,1.06,-52.30%
EWY,"专业策略 (每日 ETF) [3.0,1.0,1.0] (Max Sharpe)",321.53%,1.50,-31.45%
EWY,"专业策略 (每日 ETF) [3.0,1.5,1.5] (Max Return)",349.04%,1.40,-38.75%
EWY,"专业策略 (静态融资) [3.0,1.0,1.0] (Max Sharpe)",328.07%,1.53,-30.73%
EWY,"专业策略 (静态融资) [3.0,1.5,1.5] (Max Return)",357.38%,1.42,-38.90%
EWY,"散户策略 (非信仰型 ETF) [2.0,0.8,0.0] (激进画像)",171.69%,1.16,-25.19%
EWY,"散户策略 (非信仰型 ETF) [1.5,0.5,0.0] (保守画像)",102.35%,1.09,-17.32%
EWY,"散户策略 (信仰型 ETF) [2.0,1.3,1.0] (激进画像)",346.58%,1.44,-32.81%
EWY,"散户策略 (信仰型 ETF) [2.0,1.0,0.5] (保守画像)",239.37%,1.32,-28.04%
EWY,3x 真实 ETF (KORU),520.24%,0.79,-73.35%
